"id","idProdutoCafe","idFuncionario","idUsuario","DataCompra","Qtde","Unitario","Total","update_at","deleted_at","insert_at"
"1","1","5420","1243","30/3/2023","1","0.5","0.5","30/3/2023 17:32:17","30/3/2023 17:52:28","30/3/2023 17:32:17"
"2","3","5420","5420","31/3/2023","1","0.01","0.01","1/1/1 00:00:00","31/3/2023 08:41:10","31/3/2023 08:38:09"
"3","2","5420","5420","31/3/2023","1","0.01","0.01","1/1/1 00:00:00","31/3/2023 17:33:02","31/3/2023 17:32:40"
"4","2","5420","5420","31/3/2023","1","2","2","1/1/1 00:00:00","31/3/2023 17:48:04","31/3/2023 17:46:22"
"5","5","5420","5420","31/3/2023","1","1","1","1/1/1 00:00:00","31/3/2023 17:48:02","31/3/2023 17:46:29"
"6","5","5418","4629","31/3/2023","10","2.3","23","1/1/1 00:00:00",,"31/3/2023 17:52:47"
"7","5","4629","4629","31/3/2023","8","2.3","18.4","1/1/1 00:00:00",,"31/3/2023 17:53:54"
"8","4","4868","4629","31/3/2023","4","2.3","9.2","1/1/1 00:00:00",,"31/3/2023 17:54:16"
"9","5","1774","4629","31/3/2023","14","2.3","32.2","1/1/1 00:00:00",,"31/3/2023 17:54:39"
"10","4","4973","4629","31/3/2023","6","2.3","13.8","1/1/1 00:00:00",,"31/3/2023 17:55:00"
"11","2","1774","4629","25/5/2023","2","2.3","4.6","25/5/2023 15:19:52",,"25/5/2023 15:19:52"
"12","4","4866","4629","31/3/2023","10","2.3","23","1/1/1 00:00:00",,"31/3/2023 17:55:37"
"13","5","4968","4629","31/3/2023","11","2.3","25.3","1/1/1 00:00:00",,"1/4/2023 08:14:10"
"14","4","1774","4629","4/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"5/4/2023 09:30:10"
"15","4","4868","4629","8/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"10/4/2023 11:00:55"
"16","2","1774","4629","8/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"10/4/2023 11:01:21"
"17","2","1774","4629","10/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"10/4/2023 11:01:37"
"18","2","1774","4971","13/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/4/2023 14:02:47"
"19","5","5418","4971","13/4/2023","2","2.3","4.6","13/4/2023 14:04:09","13/4/2023 14:05:02","13/4/2023 14:04:09"
"20","5","5418","4971","13/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/4/2023 14:05:48"
"21","5","4866","4971","13/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/4/2023 16:11:20"
"22","4","4866","4971","13/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/4/2023 16:11:49"
"23","4","4973","4971","13/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/4/2023 16:12:13"
"24","5","4968","4971","14/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/4/2023 08:37:48"
"25","1","5418","4971","14/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/4/2023 08:38:35"
"26","5","4629","4971","14/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/4/2023 10:00:47"
"27","2","1774","4971","17/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"17/4/2023 17:41:12"
"28","2","1774","4971","18/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"18/4/2023 12:10:28"
"29","5","4629","4629","19/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/4/2023 16:21:54"
"30","5","5418","4971","19/4/2023","1","2.3","2.3","1/1/1 00:00:00","19/4/2023 17:16:49","19/4/2023 17:16:32"
"31","5","4968","4971","19/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/4/2023 17:17:06"
"32","2","1774","4971","20/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"20/4/2023 09:54:49"
"33","1","4868","4971","24/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"24/4/2023 09:54:25"
"34","2","1774","4971","24/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"24/4/2023 09:54:42"
"35","5","4968","4971","24/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"24/4/2023 09:56:32"
"36","5","4868","4971","25/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/4/2023 17:36:10"
"37","5","5418","4971","26/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/4/2023 10:35:38"
"38","5","4629","4971","26/4/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/4/2023 16:19:20"
"39","2","1774","4971","28/4/2023","1","2.3","2.3","1/1/1 00:00:00",,"28/4/2023 10:45:35"
"40","5","4629","4629","2/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"2/5/2023 09:40:58"
"41","2","1774","4971","3/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"3/5/2023 09:29:37"
"42","5","4968","4971","3/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"3/5/2023 09:35:36"
"43","5","4968","4971","3/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"3/5/2023 15:11:43"
"44","4","4868","4971","5/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"5/5/2023 09:54:47"
"45","2","1774","4971","5/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"5/5/2023 09:55:03"
"46","4","2472","4629","5/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"5/5/2023 16:00:50"
"47","5","4866","4971","8/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"8/5/2023 11:15:59"
"48","5","4968","4971","9/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"9/5/2023 08:42:18"
"49","4","4973","4971","10/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"10/5/2023 13:51:38"
"50","2","1774","4971","10/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"10/5/2023 13:52:09"
"51","2","4868","4971","10/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"10/5/2023 13:52:25"
"52","2","1774","4971","11/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"11/5/2023 16:33:31"
"53","5","4868","4971","11/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"11/5/2023 16:34:02"
"54","2","1774","4971","12/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"12/5/2023 09:40:38"
"55","2","1774","4971","13/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/5/2023 09:27:34"
"56","5","4968","4971","13/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/5/2023 10:00:19"
"57","5","4629","4971","13/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/5/2023 10:41:38"
"58","5","4968","4971","15/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"15/5/2023 11:11:48"
"59","2","1774","4971","16/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"16/5/2023 10:25:41"
"60","4","4868","4971","16/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"16/5/2023 10:26:09"
"61","2","1774","4971","17/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"17/5/2023 09:39:18"
"62","2","1774","4971","18/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"18/5/2023 08:57:42"
"63","2","1774","4971","19/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/5/2023 09:26:36"
"64","5","4968","4971","19/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/5/2023 09:26:51"
"65","4","4868","4971","19/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/5/2023 09:27:08"
"66","5","4629","4629","19/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/5/2023 17:02:29"
"67","1","5418","4971","20/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"20/5/2023 09:08:19"
"68","2","1774","4971","22/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"22/5/2023 11:08:37"
"69","5","4968","4971","22/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"22/5/2023 11:08:53"
"70","2","1774","4971","23/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"23/5/2023 11:09:31"
"71","4","4868","4971","23/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"23/5/2023 11:09:55"
"72","2","5420","4629","24/5/2023","4","2.3","9.2","25/5/2023 17:25:33",,"25/5/2023 17:25:33"
"73","2","5420","4629","25/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/5/2023 17:25:15"
"74","1","4868","4629","25/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/5/2023 17:26:18"
"75","2","1774","4629","25/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"25/5/2023 17:26:33"
"76","5","4968","4629","25/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/5/2023 17:26:52"
"77","2","1774","4971","26/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"26/5/2023 16:07:08"
"78","4","5420","4971","26/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/5/2023 16:07:25"
"79","5","4868","4971","26/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/5/2023 16:09:43"
"80","5","5420","4971","27/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"27/5/2023 10:01:04"
"81","4","4868","4971","27/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"27/5/2023 10:01:32"
"82","2","1774","4971","29/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"29/5/2023 12:52:27"
"83","4","5420","4971","29/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"29/5/2023 12:53:24"
"84","5","4868","4971","29/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"29/5/2023 12:54:10"
"85","5","4968","4971","30/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"30/5/2023 10:55:05"
"86","5","4968","4629","1/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"1/6/2023 08:49:26"
"87","5","5420","4971","1/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/6/2023 11:49:55"
"88","4","4868","4971","1/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/6/2023 11:50:12"
